CASO,EDAD,GENERO,GENERO,VINCULO,PROVINCIA,ID PROVINCIA,MODALIDAD,FECHA
289,17,MUJER,0,PRINCIPAL,Santiago del Estero,21,GOLPES,2013-10-30
392,20,MUJER,0,PRINCIPAL,Buenos Aires,0,ESTRANGULAMIENTO,2013-10-30
415,26,MUJER,0,PRINCIPAL,San Luis,18,DISPARO DE BALA,2013-11-04
436,10,,3,VINCULADO,Córdoba,5,DISPARO DE BALA,2013-11-05
436,12,,3,VINCULADO,Córdoba,5,DISPARO DE BALA,2013-11-05
366,20,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2013-11-07
323,30,MUJER,0,PRINCIPAL,Formosa,8,ACUCHILLAMIENTO,2013-11-10
429,24,MUJER,0,PRINCIPAL,Córdoba,5,GOLPES,2013-11-16
330,63,MUJER,0,PRINCIPAL,Buenos Aires,0,APUÑALAMIENTO,2013-11-20
400,49,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2013-11-20
206,27,MUJER,0,PRINCIPAL,Misiones,13,GOLPES,2013-11-22
69,49,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2013-11-23
69,23,MUJER,0,VINCULADO,Buenos Aires,0,DISPARO DE BALA,2013-11-23
414,40,MUJER,0,PRINCIPAL,Córdoba,5,QUEMADURAS,2013-11-24
374,43,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2013-11-25
185,24,MUJER,0,PRINCIPAL,,,,2013-11-25
106,52,,3,PRINCIPAL,Corrientes,6,QUEMADURAS,2013-12-02
438,23,MUJER,0,PRINCIPAL,Córdoba,5,DISPARO DE BALA,2013-12-02
433,42,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2013-12-04
985,32,MUJER,0,PRINCIPAL,Santa Fe,20,QUEMADURAS,2013-12-09
416,16,MUJER,0,PRINCIPAL,Córdoba,5,DISPARO DE BALA,2013-12-12
363,13,MUJER,0,PRINCIPAL,Catamarca,1,ESTRANGULAMIENTO,2013-12-14
399,35,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2013-12-17
435,27,MUJER,0,PRINCIPAL,Córdoba,5,ASFIXIA,2013-12-19
286,69,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,ASFIXIA,2013-12-26
208,19,MUJER,0,PRINCIPAL,Misiones,13,GOLPES,2013-12-30
43,21,MUJER,0,VINCULADO,Misiones,13,,2014-01-05
42,22,MUJER,0,VINCULADO,Misiones,13,ATROPELLAMIENTO,2014-01-05
587,3,MUJER,0,PRINCIPAL,Mendoza,12,GOLPES,2014-01-07
292,23,MUJER,0,PRINCIPAL,Santiago del Estero,21,QUEMADURAS,2014-01-10
489,16,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2014-01-10
254,27,MUJER,0,PRINCIPAL,Chaco,2,ACUCHILLAMIENTO,2014-01-13
11,38,MUJER,0,PRINCIPAL,Buenos Aires,0,ASFIXIA,2014-01-16
100,51,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2014-01-18
255,17,MUJER,0,PRINCIPAL,Chaco,2,DISPARO DE BALA,2014-01-24
782,40,MUJER,0,PRINCIPAL,Córdoba,5,,2014-01-24
98,35,MUJER,0,PRINCIPAL,Córdoba,5,DISPARO DE BALA,2014-01-26
213,54,MUJER,0,PRINCIPAL,Misiones,13,DISPARO DE BALA,2014-01-29
375,53,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2014-02-11
273,43,MUJER,0,PRINCIPAL,Corrientes,6,DISPARO DE BALA,2014-02-14
33,29,MUJER,0,PRINCIPAL,Córdoba,5,,2014-02-16
